time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-01-20 00:00:00+00:00,15,2,85,15
2022-01-21 00:00:00+00:00,55,9,233,24
2022-01-22 00:00:00+00:00,0,0,23,9
2022-01-23 00:00:00+00:00,51,2,29,9
2022-01-24 00:00:00+00:00,50,5,108,15
2022-01-25 00:00:00+00:00,73,8,300,25
2022-01-26 00:00:00+00:00,15,6,353,35
2022-01-27 00:00:00+00:00,48,5,244,37
2022-01-28 00:00:00+00:00,57,6,179,28
2022-01-29 00:00:00+00:00,4,3,47,12
2022-01-30 00:00:00+00:00,2,1,5,4
2022-01-31 00:00:00+00:00,15,2,153,16
2022-02-01 00:00:00+00:00,63,5,108,23
2022-02-02 00:00:00+00:00,36,5,164,32
2022-02-03 00:00:00+00:00,21,5,244,98
2022-02-04 00:00:00+00:00,22,2,235,51
2022-02-05 00:00:00+00:00,7,1,136,22
2022-02-06 00:00:00+00:00,2,1,40,13
2022-02-07 00:00:00+00:00,21,1,140,29
2022-02-08 00:00:00+00:00,26,3,133,29
2022-02-09 00:00:00+00:00,70,5,229,26
2022-02-10 00:00:00+00:00,39,5,291,33
2022-02-11 00:00:00+00:00,44,6,403,29
2022-02-12 00:00:00+00:00,0,0,6,6
2022-02-13 00:00:00+00:00,0,0,37,17
2022-02-14 00:00:00+00:00,33,4,186,25
2022-02-15 00:00:00+00:00,10,6,239,19
2022-02-16 00:00:00+00:00,8,2,271,39
