time_iso8601,stars_cumulative
2021-11-01 00:00:00+00:00,1
2021-11-02 00:00:00+00:00,6
2021-11-05 00:00:00+00:00,11
2021-11-08 00:00:00+00:00,16
2021-11-09 00:00:00+00:00,17
2021-11-12 00:00:00+00:00,20
2021-11-22 00:00:00+00:00,21
2021-11-24 00:00:00+00:00,22
2021-11-28 00:00:00+00:00,23
2021-12-01 00:00:00+00:00,24
2021-12-11 00:00:00+00:00,25
2021-12-23 00:00:00+00:00,26
2022-01-07 00:00:00+00:00,27
2022-02-04 00:00:00+00:00,28
2022-02-25 00:00:00+00:00,29
2022-03-09 00:00:00+00:00,30
2022-03-11 00:00:00+00:00,31
2022-03-22 00:00:00+00:00,32
2022-04-09 00:00:00+00:00,33
2022-04-11 00:00:00+00:00,34
2022-04-20 00:00:00+00:00,35
2022-05-05 00:00:00+00:00,36
2022-06-20 00:00:00+00:00,37
2022-07-28 00:00:00+00:00,38
2022-08-22 00:00:00+00:00,39
2022-08-23 00:00:00+00:00,40
2022-09-06 00:00:00+00:00,41
2022-09-30 00:00:00+00:00,42
2022-10-30 00:00:00+00:00,43
2022-12-06 00:00:00+00:00,44
