time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-01-20 00:00:00+00:00,15,2,77,7
2022-01-21 00:00:00+00:00,5,2,98,9
2022-01-22 00:00:00+00:00,9,4,46,2
2022-01-23 00:00:00+00:00,0,0,46,7
2022-01-24 00:00:00+00:00,19,3,213,12
2022-01-25 00:00:00+00:00,38,5,432,22
2022-01-26 00:00:00+00:00,31,8,235,13
2022-01-27 00:00:00+00:00,30,4,214,13
2022-01-28 00:00:00+00:00,5,4,95,8
2022-01-29 00:00:00+00:00,0,0,1,1
2022-01-30 00:00:00+00:00,0,0,2,2
2022-01-31 00:00:00+00:00,7,2,108,11
2022-02-01 00:00:00+00:00,14,5,59,9
2022-02-02 00:00:00+00:00,14,5,124,12
2022-02-03 00:00:00+00:00,11,4,75,7
2022-02-04 00:00:00+00:00,8,5,36,8
2022-02-05 00:00:00+00:00,0,0,3,2
2022-02-06 00:00:00+00:00,4,2,13,3
2022-02-07 00:00:00+00:00,12,3,128,12
2022-02-08 00:00:00+00:00,8,3,215,15
2022-02-09 00:00:00+00:00,10,4,348,22
2022-02-10 00:00:00+00:00,7,1,230,16
2022-02-11 00:00:00+00:00,20,4,158,5
2022-02-12 00:00:00+00:00,2,1,11,3
2022-02-13 00:00:00+00:00,0,0,7,4
2022-02-14 00:00:00+00:00,0,0,79,11
2022-02-15 00:00:00+00:00,30,5,336,18
2022-02-16 00:00:00+00:00,23,5,318,16
2022-02-17 00:00:00+00:00,44,5,355,12
2022-02-18 00:00:00+00:00,11,2,125,11
2022-02-19 00:00:00+00:00,0,0,1,1
2022-02-20 00:00:00+00:00,0,0,33,2
2022-02-21 00:00:00+00:00,2,2,15,6
2022-02-22 00:00:00+00:00,12,3,189,16
